,id,type,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var
0,0,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1784.808293,129887.5063,3808.046818,901434.9344,0.083024467,0.000767798,3.117746665,2684.329626,15.99590036,18.77209598,-113.6103807,2569.194411,121.5269266,295.7454595,-19.11971586,234.9203472,42.34583266,150.9875578,-6.397207273,167.9277183
23,1,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1529.004413,376097.6714,3545.433548,2973527.675,0.055997911,0.001449656,-0.015549202,5520.209995,15.97638335,17.61659655,-207.6810181,7768.972485,124.0288135,561.0002813,8.921461756,573.4575669,35.87256783,265.0967747,2.953946703,279.5919751
46,2,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1552.846406,157139.5253,3041.990598,787067.7312,0.076250984,0.00100901,3.360071786,2809.271627,26.34366154,30.03254818,-90.77732057,3325.262959,140.435236,511.0892285,-29.10352292,412.7180631,31.72116986,144.4106236,-14.02048861,155.6470265
69,3,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1070.101733,184817.3304,2185.494924,1496506.626,0.03329359,0.000424247,0.903768078,5443.064561,29.79358745,25.98067093,-199.2149542,5473.706974,150.1167567,457.3958945,5.624720931,257.1457326,26.89444334,158.0920806,1.718505315,267.4380832
92,4,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1836.253062,343493.8417,3582.540766,1572657.588,0.101532976,0.001957048,-9.646368807,3997.203222,17.063747,18.75518787,-160.1642356,5194.82751,126.1643681,854.3631253,-35.6319575,333.7019898,22.1551794,193.8708981,-32.50034583,336.8419696
115,5,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1830.5975,1031765.509,3477.770883,3275812.868,0.093880965,0.0062462,-8.241767033,4658.520419,17.45591883,23.08246325,-178.1614754,7261.502059,118.2325307,3201.834067,-17.50766052,654.692881,30.72786771,486.8866454,-21.69761011,433.3075377
138,6,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1458.485232,438595.4554,2795.268498,1625110.812,0.072895091,0.001906135,-7.93310014,5465.241577,24.7483512,45.75379046,-190.4130002,9621.968625,130.2879533,1937.828877,-36.28195294,1307.322899,32.96373445,479.8075719,11.11775551,1086.085849
161,7,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1452.001343,450574.5233,2956.475404,1631751.999,0.061359542,0.001850954,-4.548899961,4965.676324,20.2150193,20.67754752,-179.47054,6585.181225,136.4120663,1481.331676,-26.56935883,588.0988755,39.983234,353.4480049,5.28601124,651.4135404
184,8,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1719.169358,163676.8377,3781.355662,1264795.385,0.063962573,0.000734771,3.494869678,2953.953482,29.49290165,26.48970543,-121.3461632,2628.235828,122.4908885,415.2065004,-14.74044934,341.9181558,46.15805282,193.7979964,-8.131584229,176.8086839
207,9,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1818.133974,298559.5459,3946.067973,1368812.129,0.079255617,0.001377879,-6.909226721,5395.844107,14.34488566,16.54678416,-213.0595139,6135.013168,115.1402495,800.2453398,-11.74884094,669.1054686,39.07219075,350.0716504,-20.35586306,533.124874
